 0.83409,0.75957,0.86358
 0.87914,0.48421,0.07667
 0.20410,0.38533,0.50223
 0.48013,0.12805,0.33383
 0.61293,0.21448,0.16949
 0.84690,0.17170,0.98699
 0.26093,0.51412,0.37433
 0.24567,0.70353,0.33104
 0.32737,0.10279,0.08348
 0.96310,0.71303,0.07580
 0.49419,0.63149,0.03330
 0.06746,0.67335,0.16805
 0.66747,0.25720,0.91458
 0.03596,0.22759,0.82535
 0.86268,0.36312,0.94605
 0.68238,0.55223,0.28510
 0.07988,0.62481,0.29858
 0.14458,0.56587,0.58983
 0.30087,0.34400,0.41122
 0.93033,0.06623,0.89856
 0.55380,0.88242,0.01474
 0.98614,0.17654,0.64712
 0.87439,0.04128,0.71027
 0.75825,0.72541,0.18990
 0.00949,0.65825,0.80348
 0.07178,0.43532,0.65399
 0.42102,0.34755,0.82997
 0.67423,0.61609,0.43717
 0.61737,0.50078,0.38814
 0.28672,0.51396,0.39514
 0.63008,0.21035,0.58435
 0.29255,0.11602,0.10438
 0.62599,0.98524,0.15406
 0.58024,0.11737,0.96689
 0.76342,0.81334,0.21404
 0.86005,0.48548,0.15453
 0.52689,0.59843,0.18787
 0.80122,0.66699,0.78600
 0.47117,0.07489,0.79142
 0.90467,0.53750,0.10195
 0.63450,0.29252,0.63039
 0.94475,0.75865,0.06436
 0.40533,0.47974,0.00947
 0.39663,0.84037,0.56949
 0.40916,0.84835,0.54607
 0.32558,0.97294,0.64010
 0.58434,0.50918,0.18257
 0.06294,0.15537,0.36619
 0.10153,0.43900,0.76212
 0.44384,0.36621,0.30577
 0.71171,0.18556,0.53735
 0.74586,0.06313,0.35115
 0.54631,0.03416,0.38060
 0.55888,0.22040,0.02425
 0.90195,0.49669,0.12166
 0.94595,0.98143,0.59906
 0.18353,0.53588,0.91635
 0.23669,0.87977,0.67289
 0.51678,0.71570,0.90986
 0.94025,0.02789,0.63325
 0.63557,0.78649,0.26416
 0.38656,0.75267,0.20672
 0.06489,0.88205,0.93256
 0.11637,0.43036,0.74158
 0.41784,0.83915,0.94804
 0.55265,0.80649,0.38115
 0.36823,0.95935,0.50878
 0.41298,0.43842,0.64115
 0.61153,0.13176,0.35595
 0.47607,0.13384,0.42486
 0.44804,0.43548,0.90894
 0.00733,0.93887,0.00706
 0.57624,0.45476,0.91290
 0.19310,0.41825,0.30356
 0.83380,0.38075,0.02648
 0.64054,0.22854,0.63127
 0.03092,0.85355,0.39577
 0.18513,0.37727,0.46514
 0.24808,0.22974,0.88652
 0.22118,0.64736,0.22678
 0.08097,0.85611,0.84276
 0.34601,0.51140,0.20696
 0.87049,0.80232,0.06946
 0.59775,0.02500,0.14307
 0.01986,0.66639,0.76072
 0.78241,0.73662,0.05574
 0.63394,0.32961,0.37783
 0.64084,0.14403,0.50821
 0.98322,0.21421,0.58349
 0.71280,0.72902,0.80088
 0.25614,0.50042,0.32436
 0.02537,0.67287,0.56345
 0.78364,0.20213,0.58429
 0.98071,0.05935,0.07163
 0.95967,0.79384,0.26950
 0.35368,0.27154,0.20571
 0.50419,0.54018,0.69537
 0.94785,0.44573,0.59888
 0.08358,0.61353,0.28647
 0.51015,0.82343,0.00378
